DrugName,Condition,ConditionCount,SideEffect,SideEffectCount,SuggestedQuestion
added strength pain reliever,Roughened Red Patches of Skin due to Sun Exposure,339.0,feelings of tingling/numbness/prickling/heat,1251.0,
adderall,Nerve Pain after Herpes,339.0,drooling,1205.0,
adderall xr,Absence of Menstrual Periods,325.0,and stuffy nose may occur.,1202.0,
addyi,Habit of Drinking Too Much Alcohol,324.0,or  metallic taste  in your  mouth  may occur.,1201.0,
adefovir dipivoxil,Non-Seasonal Allergic Runny Nose,323.0,or tiredness may occur as your body adjusts to the  medication .,1200.0,
adempas,Backache,323.0,easy bleeding/bruising,1154.0,
adenocard syringe,Chronic Hepatitis C,314.0,or difficulty sleeping may occur.,1149.0,
adenosine (bulk) powder,Excessive Production of Stomach Acid,311.0,and tiredness may occur.,1137.0,
adenosine 3 mg/ml intravenous solution,Pregnancy,308.0,back pain,1132.0,
adenosine vial,Blood Clot in Lung,307.0,stomach   cramps,1111.0,
"adhansia xr 85 mg capsule,extended release attention deficit hyperactivity disorder (adhd) agents",Joint Disease which may include Attacks of Acute Arthritis,303.0,and  cough  may occur.,1095.0,
adhesive tape-silicones combination package,Hormone Receptor Positive Breast Cancer,303.0,redness/warmth/bruising at the injection site,1061.0,
adipex-p,Breast Cancer that has Spread to Another Part of the Body,303.0,appetite changes,1061.0,
adlyxin pen injector,Urinary Tract Infection Prevention,291.0,runny/stuffy nose,1033.0,
admelog solostar insulin pen,Inflammation of the Sac Surrounding the Joint - Bursitis,288.0,or pain/redness/swelling at the injection site may occur.,1021.0,
admelog vial,Kidney Disease from Diabetes,286.0,or  blurred vision  may occur.,1020.0,
adrenalin chloride vial,Irritable Bowel Syndrome with Constipation,285.0,or ejaculation problems may occur.,1008.0,
adreview vial,Ulcerated Colon,278.0,headache  may occur.,994.0,
adriamycin 2 mg/ml intravenous solution,Extreme Apprehension or Fear of Social Interaction,278.0,and  diarrhea  may occur.,991.0,
adrucil vial,Increased Triglycerides and Cholesterol,275.0,bleeding from cuts) may occur.,987.0,
"adult glycerin suppository, rectal",Bronchospasm Prevention with COPD,273.0,decreased interest in  sex,975.0,
adult low dose aspirin ec,Acute Inflammation of the Maxillary Sinus,272.0,and  weight  gain may occur.,967.0,
"adult multivitamin gummies tablet, chewable",Overactive Bladder,271.0,loss of appetite/ weight loss,953.0,
adult nasal decongestant,Low Amount of Potassium in the Blood,269.0,dizziness  or  lightheadedness  may occur as your body adjusts to the  medication . if any of these effects last or get worse,943.0,
adult probiotic,Inflammatory Bowel Disease,264.0,mouth  sores,937.0,
adult robitussin peak cold,"Acute Infection of the Nose, Throat or Sinus",260.0,or  headache  may occur as your body adjusts to the  medication . if any of these effects last or get worse,937.0,
adult robitussin peak cold m-s,A Feeling of Restlessness with Inability to Sit Still,260.0,nausea and vomiting  may occur.,927.0,
adult wal-tussin,Allergic Reaction caused by a Drug,257.0,swelling of the  ankles /feet (retaining fluid),925.0,
adult wal-tussin dm,"Mania associated with Bipolar Disorder, Adjunct Treatment",255.0,or  hot flashes  (flushing) may occur.,924.0,
adult wal-tussin dm max,Thyroid Cancer,255.0,increased thirst,919.0,
"advair diskus blister, with inhalation device",Blood Clot Prevention Following Percutaneous Coronary Intervention,251.0,increased frequency of urination,919.0,
advair hfa aerosol with adapter,Painful Sexual Intercourse due to Menopause,248.0,and mildly shaking hands (fine tremor) may occur.,919.0,
advate vial,Chronic Obstructive Lung Disease,246.0,or  sore throat  may occur.,906.0,
advil,Severe Sinusitis caused by Haemophilus Influenzae,244.0,abdominal  cramps / bloating,898.0,
advil allergy sinus 2 mg-30 mg-200 mg tablet,External Genital Warts,242.0,easy bruising or minor bleeding (such as  nosebleed,880.0,
advil allergy-congestion rlf,Hormone Receptor Positive Postmenopausal Early Breast Cancer After Adjuvant Tamoxifen,242.0,dizziness  or difficulty with coordination may occur.,871.0,
advil cold & sinus,Bronchitis caused by the Bacteria Haemophilus Influenzae,240.0,bruising,867.0,
